Modifier / Underwriting Metric,Microsoft,Amazon,Liberty Mutual,Apple
Mergers and Acquisitions,AVERAGE,VERY FAVOURABLE,FAVOURABLE,VERY FAVOURABLE
Amount of sensitive information,PARTIALLY FAVOURABLE,PARTIALLY UNFAVOURABLE,FAVOURABLE,PARTIALLY UNFAVOURABLE
Domain Encryption,PARTIALLY FAVOURABLE,AVERAGE,PARTIALLY FAVOURABLE,FAVOURABLE
Geographic Spread,FAVOURABLE,PARTIALLY FAVOURABLE,FAVOURABLE,PARTIALLY FAVOURABLE
Internet footprint,AVERAGE,VERY FAVOURABLE,PARTIALLY FAVOURABLE,AVERAGE
Nature of services,VERY FAVOURABLE,FAVOURABLE,VERY FAVOURABLE,VERY FAVOURABLE
Organizational Complexity,VERY FAVOURABLE,FAVOURABLE,AVERAGE,VERY FAVOURABLE
Privacy Regulation,PARTIALLY FAVOURABLE,FAVOURABLE,AVERAGE,FAVOURABLE
Seasonality of sales,PARTIALLY UNFAVOURABLE,AVERAGE,AVERAGE,AVERAGE
Volatility/Recovery in Sales,PARTIALLY UNFAVOURABLE,PARTIALLY UNFAVOURABLE,AVERAGE,PARTIALLY UNFAVOURABLE
Applicability of Privacy Regulation,AVERAGE,AVERAGE,AVERAGE,AVERAGE
B2C End Products,AVERAGE,FAVOURABLE,AVERAGE,FAVOURABLE
Years in business,VERY FAVOURABLE,VERY FAVOURABLE,VERY FAVOURABLE,VERY FAVOURABLE
Cybersecurity Info,FAVOURABLE,PARTIALLY FAVOURABLE,PARTIALLY FAVOURABLE,-
Industry & Company Breach History,FAVOURABLE,VERY FAVOURABLE,FAVOURABLE,-
Unusual Exposure,PARTIALLY UNFAVOURABLE,AVERAGE,PARTIALLY FAVOURABLE,PARTIALLY UNFAVOURABLE
Final Risk Score (out of 6.0),3.06,2.75,2.88,2.86
Final Risk Category,PARTIALLY FAVOURABLE,FAVOURABLE,FAVOURABLE,FAVOURABLE
