2026-06-16 16:50:12 | INFO | cyber_risk_insurance.Seasonality of sales | ========================================
2026-06-16 16:50:12 | INFO | cyber_risk_insurance.Seasonality of sales | Modifier Evaluation: Seasonality of sales
2026-06-16 16:50:12 | INFO | cyber_risk_insurance.Seasonality of sales | ========================================
2026-06-16 16:50:12 | INFO | cyber_risk_insurance.Seasonality of sales | Input: quarterly_revenue = []
2026-06-16 16:50:12 | INFO | cyber_risk_insurance.Seasonality of sales | Input: sic_codes = ['7372']
2026-06-16 16:50:12 | INFO | cyber_risk_insurance.Seasonality of sales | Math Logic: If quarterly revenue count >= 4, CV = std/mean. CV < 0.1 => favourable, CV <= 0.25 => average, else partially unfavourable. Else check if SIC starts with 5311 (high seasonality).
2026-06-16 16:50:12 | INFO | cyber_risk_insurance.Seasonality of sales | Calculation details: Quarterly revenue Coefficient of Variation = 0.000
2026-06-16 16:50:12 | INFO | cyber_risk_insurance.Seasonality of sales | Resulting Score: 0.0
2026-06-16 16:50:12 | INFO | cyber_risk_insurance.Seasonality of sales | Resulting Rating: average
2026-06-16 16:50:12 | INFO | cyber_risk_insurance.Seasonality of sales | Rationale: No quarterly revenue data available, but SIC code 7372 may indicate some seasonality., average.
2026-06-16 16:50:12 | INFO | cyber_risk_insurance.Seasonality of sales | ========================================

